Unnamed: 0,league,split,week,game,date,patchno,side,team,teamdragkills,elders,herald,teambaronkills,totalgold,earnedgpm,cspm
779,CBLoL,2019-2,2,1,2019-06-08 10:53:51.000000000,9.11,Red,Team One,0.0,0.0,0.0,0.0,45358.0,827.6072013093287,32.209492635024546
790,CBLoL,2019-2,2,1,2019-06-08 11:57:19.999987200,9.11,Blue,KaBuM,4.0,0.0,1.0,0.0,57370.0,1029.1919882755253,33.297508549096236
791,CBLoL,2019-2,2,1,2019-06-08 11:57:19.999987200,9.11,Red,INTZ,1.0,0.0,0.0,1.0,64880.0,1249.3190034196384,31.744015632633122
802,CBLoL,2019-2,2,1,2019-06-08 12:58:26.000025600,9.11,Blue,CNB,3.0,0.0,1.0,0.0,61098.0,1068.675422138837,31.547842401500937
803,CBLoL,2019-2,2,1,2019-06-08 12:58:26.000025600,9.11,Red,Flamengo,2.0,0.0,0.0,1.0,67768.0,1256.386491557223,34.47467166979362
814,CBLoL,2019-2,2,1,2019-06-08 14:03:23.999961600,9.11,Blue,paiN Gaming,2.0,0.0,1.0,1.0,66544.0,1170.9274965800273,31.43638850889193
815,CBLoL,2019-2,2,1,2019-06-08 14:03:23.999961600,9.11,Red,Uppercut,3.0,0.0,0.0,0.0,57412.0,921.0779753761972,33.89876880984952
826,CBLoL,2019-2,2,2,2019-06-09 10:33:58.000032000,9.11,Blue,INTZ,1.0,0.0,0.0,1.0,72404.0,1298.1568803227253,32.164948453608254
827,CBLoL,2019-2,2,2,2019-06-09 10:33:58.000032000,9.11,Red,CNB,4.0,0.0,1.0,1.0,62668.0,1036.3191393993725,30.336172120125514
838,CBLoL,2019-2,2,2,2019-06-09 12:04:54.000019200,9.11,Blue,Flamengo,1.0,0.0,0.0,2.0,91583.0,1129.4092664092666,32.23938223938224
839,CBLoL,2019-2,2,2,2019-06-09 12:04:54.000019200,9.11,Red,Redemption,6.0,2.0,1.0,1.0,95333.0,1201.803088803089,31.23552123552124
850,CBLoL,2019-2,2,2,2019-06-09 13:25:49.999958400,9.11,Blue,Team One,2.0,0.0,0.0,0.0,58923.0,969.6307833256986,31.937700412276683
851,CBLoL,2019-2,2,2,2019-06-09 13:25:49.999958400,9.11,Red,paiN Gaming,1.0,0.0,1.0,1.0,69723.0,1266.469995419148,34.988547869903805
862,CBLoL,2019-2,2,2,2019-06-09 14:31:25.999996800,9.11,Blue,Uppercut,1.0,0.0,1.0,0.0,52745.0,997.4099216710182,31.08093994778068
863,CBLoL,2019-2,2,2,2019-06-09 14:31:25.999996800,9.11,Red,KaBuM,2.0,0.0,0.0,1.0,65017.0,1381.9112271540469,32.365535248041766
