,league,split,week,game,date,patchno,side,team,teamdragkills,elders,herald,teambaronkills,totalgold,earnedgpm,cspm
371,LCS,2019-2,2,2,43625.6977662037,9.11,Red,Cloud9,0.0,0.0,1.0,1.0,58222.0,992.2521166509879,28.58889934148636
382,LCS,2019-2,2,2,43625.74009259259,9.11,Blue,FlyQuest,2.0,0.0,0.0,0.0,48036.0,887.4536689876808,31.815747188002142
383,LCS,2019-2,2,2,43625.74009259259,9.11,Red,OpTic Gaming,2.0,0.0,1.0,1.0,56873.0,1171.4493840385644,33.00482056775576
394,LEC,2019-2,1,1,43623.423784722225,9.11,Blue,G2 Esports,2.0,0.0,1.0,0.0,48299.0,1450.4615384615383,35.604395604395606
395,LEC,2019-2,1,1,43623.423784722225,9.11,Red,Splyce,0.0,0.0,0.0,0.0,37223.0,963.6043956043956,30.505494505494504
406,LEC,2019-2,1,1,43623.482141203705,9.11,Blue,Origen,1.0,0.0,0.0,1.0,58269.0,1423.4561717352415,32.27191413237925
407,LEC,2019-2,1,1,43623.482141203705,9.11,Red,Vitality,1.0,0.0,1.0,0.0,46195.0,991.4704830053668,33.38103756708408
418,LEC,2019-2,1,1,43623.52173611111,9.11,Blue,Rogue,0.0,0.0,0.0,0.0,43656.0,874.9167643610785,26.44783118405627
419,LEC,2019-2,1,1,43623.52173611111,9.11,Red,Misfits,4.0,0.0,1.0,1.0,56889.0,1340.32121922626,35.06447831184056
430,LEC,2019-2,1,1,43623.56078703704,9.11,Blue,Fnatic,3.0,0.0,1.0,1.0,61511.0,1320.5013390465986,34.51526513122657
431,LEC,2019-2,1,1,43623.56078703704,9.11,Red,SK Gaming,1.0,0.0,0.0,0.0,46460.0,836.805570433851,32.32994108194965
442,LEC,2019-2,1,1,43623.60060185185,9.11,Blue,Schalke 04,3.0,0.0,1.0,1.0,75115.0,1187.1947946319642,34.11142740951606
443,LEC,2019-2,1,1,43623.60060185185,9.11,Red,Excel Esports,1.0,0.0,0.0,1.0,67308.0,996.7027246848313,32.915819438796255
454,LEC,2019-2,1,2,43624.38895833334,9.11,Blue,Excel Esports,4.0,0.0,0.0,0.0,62880.0,947.6449704142013,32.434488588334744
455,LEC,2019-2,1,2,43624.38895833334,9.11,Red,Rogue,2.0,1.0,1.0,1.0,73159.0,1208.312764158918,33.55029585798817
466,LEC,2019-2,1,2,43624.45125,9.11,Blue,SK Gaming,3.0,0.0,0.0,1.0,63372.0,1208.675477239354,30.36710719530103
467,LEC,2019-2,1,2,43624.45125,9.11,Red,Schalke 04,0.0,0.0,1.0,1.0,60329.0,1119.3069016152717,29.33920704845815
